,p,r,m,n,n_pages
155,1.2928248222365868,86.09271523178808,2500,700,20111
156,1.1414371156600118,89.73509933774835,5000,700,23742
157,1.0553579712385959,90.39735099337747,7500,700,25868
158,1.0088411166954034,91.05960264900662,10000,700,27259
159,0.9939299279400802,92.71523178807946,12500,700,28171
160,3.8924274593064405,54.63576158940398,50,800,4239
161,3.031842818428184,59.27152317880795,100,800,5904
162,2.4311377245508985,67.21854304635761,200,800,8350
163,2.259716782163302,74.50331125827815,300,800,9957
164,2.019840915184556,74.83443708609272,400,800,11189
165,1.8820270490467657,76.49006622516556,500,800,12274
166,1.816782140107775,78.1456953642384,600,800,12990
167,1.6945606694560669,80.4635761589404,700,800,14340
168,1.7282065519156022,82.45033112582782,800,800,14408
169,1.641381114308135,83.11258278145695,900,800,15292
170,1.562600064040986,80.79470198675497,1000,800,15615
171,1.2776748268799376,86.75496688741721,2500,800,20506
172,1.0828103851359665,87.41721854304636,5000,800,24381
173,1.0627723832097253,92.05298013245033,7500,800,26158
174,0.9980764345080391,91.05960264900662,10000,800,27553
175,0.9737880004188336,92.3841059602649,12500,800,28651
176,3.728578045391385,53.31125827814569,50,900,4318
177,2.971083571655545,61.920529801324506,100,900,6294
178,2.3932804050166836,68.87417218543047,200,900,8691
179,2.127036784076495,72.18543046357617,300,900,10249
180,2.021772939346812,77.48344370860927,400,900,11574
181,1.8984337921214998,79.47019867549669,500,900,12642
182,1.7618246947876306,79.80132450331125,600,900,13679
183,1.7254681910640386,81.45695364238411,700,900,14257
184,1.5913345814388875,78.80794701986756,800,900,14956
185,1.571861109321652,80.79470198675497,900,900,15523
186,1.5438030876061752,82.45033112582782,1000,900,16129
187,1.2683673957784904,87.74834437086093,2500,900,20893
188,1.1137758627698062,90.72847682119205,5000,900,24601
189,1.0217065868263473,90.39735099337747,7500,900,26720
190,0.9957733361988682,92.05298013245033,10000,900,27918
191,0.9423866892195105,90.39735099337747,12500,900,28969
192,3.6607548885857213,53.31125827814569,50,1000,4398
193,3.1214620734271388,63.90728476821192,100,1000,6183
194,2.428587949577888,69.5364238410596,200,1000,8647
195,2.0290394638868205,72.18543046357617,300,1000,10744
196,1.9184453118511753,76.49006622516556,400,1000,12041
197,1.728301886792453,75.82781456953643,500,1000,13250
198,1.723638470451912,78.80794701986756,600,1000,13808
199,1.6218752094363649,80.13245033112582,700,1000,14921
200,1.5941180298002473,81.12582781456953,800,1000,15369
201,1.5572998430141287,82.11920529801324,900,1000,15925
202,1.5224746254229098,83.44370860927152,1000,1000,16552
203,1.2374970923470574,88.0794701986755,2500,1000,21495
204,1.0706467661691543,89.0728476821192,5000,1000,25125
205,1.021087680355161,91.3907284768212,7500,1000,27030
206,0.9746314345026565,91.72185430463577,10000,1000,28421
207,0.9589789092894683,93.04635761589404,12500,1000,29302
