,p,r,m,n,n_pages
0,5.050129966580022,44.299674267100976,50,50,2693
1,3.71900826446281,55.700325732899024,100,50,4598
2,2.835428237357498,63.19218241042345,200,50,6842
3,2.440971826166306,69.70684039087948,300,50,8767
4,2.3322130563193806,74.5928338762215,400,50,9819
5,2.116119854183338,77.52442996742671,500,50,11247
6,2.018138736824904,80.45602605863192,600,50,12239
7,1.8857840891739197,80.45602605863192,700,50,13098
8,1.7905038057267126,80.45602605863192,800,50,13795
9,1.7638888888888888,82.73615635179154,900,50,14400
10,1.65016501650165,83.06188925081433,1000,50,15453
11,3.617072582589824,48.85993485342019,50,100,4147
12,2.696347389873021,56.02605863192183,100,100,6379
13,2.2301120603572615,65.47231270358306,200,100,9013
14,1.9383869851159572,72.9641693811075,300,100,11556
15,1.8708137654938795,79.15309446254072,400,100,12989
16,1.6747404844290659,78.82736156351791,500,100,14450
17,1.6413491246138001,83.06188925081433,600,100,15536
18,1.5280952953916496,82.73615635179154,700,100,16622
19,1.4606036400981344,83.38762214983714,800,100,17527
20,1.3939361067418778,83.71335504885994,900,100,18437
21,1.3725699636829738,83.71335504885994,1000,100,18724
22,2.80811232449298,46.90553745928339,50,200,5128
23,2.6312201772324473,62.866449511400646,100,200,7335
24,2.003109850910089,71.33550488599349,200,200,10933
25,1.7973489103572229,78.17589576547232,300,200,13353
26,1.574539363484087,76.54723127035831,400,200,14925
27,1.4928068380184192,80.78175895765473,500,200,16613
28,1.4757594973194212,83.38762214983714,600,200,17347
29,1.3789388634527338,83.38762214983714,700,200,18565
30,1.3128991060025543,83.71335504885994,800,200,19575
31,1.2736677727893813,85.01628664495115,900,200,20492
32,1.2778040700425934,87.94788273615634,1000,200,21130
33,3.2529082292115463,49.185667752442995,50,300,4642
34,2.5979061651803024,65.47231270358306,100,300,7737
35,1.9413324211066452,73.9413680781759,200,300,11693
36,1.7023102782347472,77.52442996742671,300,300,13981
37,1.5625,79.47882736156352,400,300,15616
38,1.477173596975865,82.73615635179154,500,300,17195
39,1.4184011738492475,85.01628664495115,600,300,18401
40,1.320440840091495,82.73615635179154,700,300,19236
41,1.2919896640826873,86.31921824104235,800,300,20511
42,1.282605562761205,86.97068403908796,900,300,20817
43,1.2517899210125178,88.27361563517914,1000,300,21649
44,3.0274715006540833,52.76872964169381,50,400,5351
45,2.332719459791283,61.88925081433225,100,400,8145
46,1.9451888994553472,73.28990228013029,200,400,11567
47,1.772449805104067,78.50162866449512,300,400,13597
48,1.6141680826035811,80.45602605863192,400,400,15302
49,1.5103292633528154,85.01628664495115,500,400,17281
50,1.3663806800127105,84.03908794788273,600,400,18882
