,p,r,m,n,n_pages
51,1.3614179296172617,86.31921824104235,700,400,19465
52,1.324275094766898,87.62214983713355,800,400,20313
53,1.2811454947953465,88.59934853420195,900,400,21231
54,1.2609073050390607,89.90228013029315,1000,400,21889
55,3.1832571227576505,58.95765472312704,50,500,5686
56,2.422360248447205,63.51791530944625,100,500,8050
57,1.9165535956580733,73.61563517915309,200,500,11792
58,1.7197956393466214,77.85016286644951,300,500,13897
59,1.5360696517412935,80.45602605863192,400,500,16080
60,1.4485226223453371,81.75895765472313,500,500,17328
61,1.3988637581734376,85.01628664495115,600,500,18658
62,1.3149210539676093,84.36482084690554,700,500,19697
63,1.2828103414249064,84.69055374592834,800,500,20268
64,1.2342759860020809,85.01628664495115,900,500,21146
65,1.2226512226512225,86.64495114006515,1000,500,21756
66,2.8630562262849257,54.071661237785015,50,600,5798
67,2.3979261179520415,60.26058631921825,100,600,7715
68,1.880456682337139,72.9641693811075,200,600,11912
69,1.7287329827847007,78.17589576547232,300,600,13883
70,1.5312281593493868,78.50162866449512,400,600,15739
71,1.4807615345034588,84.36482084690554,500,600,17491
72,1.3395704869232405,82.08469055374593,600,600,18812
73,1.3277251304920692,85.34201954397395,700,600,19733
74,1.2944983818770228,85.99348534201955,800,600,20394
75,1.2658227848101267,87.29641693811075,900,600,21172
76,1.1996921544660237,86.31921824104235,1000,600,22089
77,3.1202143950995405,53.09446254071661,50,700,5224
78,2.371843917368018,60.586319218241044,100,700,7842
79,1.9752871562826315,73.9413680781759,200,700,11492
80,1.7130771942192455,79.15309446254072,300,700,14185
81,1.5515075376884422,80.45602605863192,400,700,15920
82,1.4286524179375248,82.08469055374593,500,700,17639
83,1.381274857572826,83.71335504885994,600,700,18606
84,1.3296117736615072,85.34201954397395,700,700,19705
85,1.2690848974034814,85.01628664495115,800,700,20566
86,1.2410343525858814,85.66775244299674,900,700,21192
87,1.1886606261774468,86.31921824104235,1000,700,22294
88,2.762039660056657,50.814332247557005,50,800,5648
89,2.3571516722201653,62.21498371335505,100,800,8103
90,1.9819975765968496,74.5928338762215,200,800,11554
91,1.6813846697280113,77.52442996742671,300,800,14155
92,1.5524256651017214,80.78175895765473,400,800,15975
93,1.4356005788712012,80.78175895765473,500,800,17275
94,1.3692036155532974,83.38762214983714,600,800,18697
95,1.29980929438924,84.36482084690554,700,800,19926
96,1.2801241332492848,85.99348534201955,800,800,20623
97,1.2420022581859238,85.99348534201955,900,800,21256
98,1.2483240094317813,87.94788273615634,1000,800,21629
99,2.9295774647887325,50.814332247557005,50,900,5325
100,2.3466981132075473,64.82084690553745,100,900,8480
101,1.7754357519254156,71.33550488599349,200,900,12335
102,1.6641136331987187,77.85016286644951,300,900,14362
103,1.5302602696770147,79.47882736156352,400,900,15945
104,1.46208969024503,82.41042345276874,500,900,17304
105,1.3944114603191895,83.38762214983714,600,900,18359
106,1.3428917609046849,86.64495114006515,700,900,19808
107,1.2702078521939952,85.99348534201955,800,900,20784
108,1.2553270335371502,88.27361563517914,900,900,21588
109,1.2107196299823153,86.97068403908796,1000,900,22053
110,3.2715148989372786,51.14006514657981,50,1000,4799
111,2.3566654941962715,65.47231270358306,100,1000,8529
112,1.9238954626713205,73.61563517915309,200,1000,11747
113,1.7029395138496324,78.50162866449512,300,1000,14152
114,1.5378868065500282,80.45602605863192,400,1000,16061
115,1.463582620673822,83.06188925081433,500,1000,17423
116,1.381554382034459,84.36482084690554,600,1000,18747
117,1.341736125228705,85.99348534201955,700,1000,19676
118,1.292700909314328,85.66775244299674,800,1000,20345
119,1.2501769118271453,86.31921824104235,900,1000,21197
120,1.233839872987072,88.59934853420195,1000,1000,22045
